Discipline,HPSAID,HPSAName,DesignationType,PrimaryStateName,CountyName,HPSAFTEShort,HPSAScore,PCMCTAScore,Status,RuralStatus,DesignationDate,UpdateDate
Dental Health,6359182534,LAGUNA HEALTH CENTER,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Cibola County, NM",,22,NA,Withdrawn,Rural,08/18/2019,04/23/2021
Primary Care,1352033790,SIPI,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Bernalillo County, NM",,19,NA,Withdrawn,Non-Rural,09/18/2020,08/06/2021
Mental Health,7352427467,SIPI,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Bernalillo County, NM",,17,NA,Withdrawn,Non-Rural,09/18/2020,08/06/2021
Dental Health,6359589119,SIPI,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Bernalillo County, NM",,19,NA,Withdrawn,Non-Rural,09/18/2020,08/06/2021
Primary Care,1353546407,Western New Mexico Correctional Facility,Correctional Facility,New Mexico,"Cibola County, NM",0.36,15,NA,Designated,Rural,11/22/2019,02/23/2022
Primary Care,1352807203,LI - Grant County,Low Income Population HPSA,New Mexico,"Grant County, NM",4.16,20,17,Designated,Rural,08/21/2012,09/08/2021
Primary Care,1353718497,LI - Otero County,Low Income Population HPSA,New Mexico,"Otero County, NM",9.39,15,19,Designated,Rural,12/14/2004,09/08/2021
Primary Care,1352114301,LI - San Miguel County,Low Income Population HPSA,New Mexico,"San Miguel County, NM",4.06,17,20,Designated,Rural,12/17/2013,09/08/2021
Primary Care,1355230041,Socorro County,High Needs Geographic HPSA,New Mexico,"Socorro County, NM",1.67,14,16,Designated,Rural,05/14/2003,09/08/2021
Primary Care,1358361998,Mora County,Geographic HPSA,New Mexico,"Mora County, NM",1.29,16,10,Designated,Rural,10/27/1978,09/08/2021
Primary Care,1351216214,LI - Luna County,Low Income Population HPSA,New Mexico,"Luna County, NM",4.46,18,18,Designated,Rural,04/16/2013,09/08/2021
Primary Care,1354983971,LI - Taos County,Low Income Population HPSA,New Mexico,"Taos County, NM",4.555,20,13,Designated,Rural,11/12/2010,09/08/2021
Dental Health,6353487971,Catron County,Geographic HPSA,New Mexico,"Catron County, NM",0.69,17,NA,Designated,Rural,10/27/1978,09/08/2021
Dental Health,6358518349,LI - Lincoln County,Low Income Population HPSA,New Mexico,"Lincoln County, NM",1.77,15,NA,Designated,Rural,03/24/2008,09/08/2021
Primary Care,135999350C,Presbyterian Healthcare Services,Other Facility,New Mexico,"Rio Arriba County, NM",0.00,19,NA,Withdrawn,Rural,02/20/2014,06/25/2019
Dental Health,6357565310,Luna County,High Needs Geographic HPSA,New Mexico,"Luna County, NM",0.06,11,NA,Designated,Rural,10/15/2013,09/08/2021
Primary Care,135999350D,Central New Mexico Correctional Facility,Correctional Facility,New Mexico,"Valencia County, NM",0.63,21,NA,Withdrawn,Non-Rural,05/07/2014,06/25/2019
Dental Health,6359873604,LI - Grant County,Low Income Population HPSA,New Mexico,"Grant County, NM",3.12,19,NA,Designated,Rural,09/23/1997,09/08/2021
Primary Care,135999350E,Penitentiary of New Mexico,Correctional Facility,New Mexico,"Santa Fe County, NM",0.46,12,NA,Withdrawn,Non-Rural,06/04/2014,06/25/2019
Primary Care,1359993514,North M State Pen - Cerillos,Correctional Facility,New Mexico,,0.00,0,NA,Withdrawn,Unknown,08/09/1979,01/21/1994
Primary Care,1359993532,Western North M Correctional Facility,Correctional Facility,New Mexico,,0.00,0,NA,Withdrawn,Unknown,06/13/1988,01/21/1994
Primary Care,1359993533,Central North M Correctional Facility,Correctional Facility,New Mexico,,0.00,0,NA,Withdrawn,Unknown,06/13/1988,01/21/1994
Primary Care,1359993534,Southern N.M. Correctional Facility,Correctional Facility,New Mexico,,0.00,0,NA,Withdrawn,Unknown,06/13/1988,09/15/2000
Primary Care,1359993564,Sante Fe PHS Indian Hospital,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Santa Fe County, NM",0.00,16,NA,Withdrawn,Non-Rural,10/26/2002,02/03/2020
Primary Care,1359993582,Holy Cross Hospital Rural Health,Rural Health Clinic,New Mexico,"Taos County, NM",,0,NA,Withdrawn,Rural,10/28/2003,06/25/2019
Primary Care,1359993584,"Five Sandoval Indian Pueblos, Inc.","Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Sandoval County, NM",0.00,14,NA,Withdrawn,Non-Rural,10/26/2002,02/05/2020
Primary Care,1359993588,Santa Clara Pueblo Health Program,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Santa Fe County, NM",0.00,18,NA,Withdrawn,Non-Rural,10/26/2002,02/05/2020
Primary Care,1359993594,Pine Hill Indian Health Center,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Cibola County, NM",0.00,18,NA,Withdrawn,Rural,10/26/2002,02/05/2020
Primary Care,1359993596,San Juan Pueblo Health Program,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Rio Arriba County, NM",0.00,18,NA,Withdrawn,Rural,10/26/2002,02/05/2020
Primary Care,1359993597,"Eight Northern Indian Pueblos, Inc.","Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Rio Arriba County, NM",0.00,17,NA,Withdrawn,Rural,10/26/2002,02/05/2020
Primary Care,1359993599,San Ildefonso Pueblo Health Program,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Santa Fe County, NM",0.00,7,NA,Withdrawn,Non-Rural,10/26/2002,02/05/2020
Primary Care,13599935A2,Santo Domingo Health Program,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Santa Fe County, NM",0.00,12,NA,Withdrawn,Non-Rural,10/26/2002,02/05/2020
Primary Care,13599935A3,Taos Chr Program,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Taos County, NM",0.00,21,NA,Withdrawn,Rural,10/26/2002,02/05/2020
Primary Care,13599935A7,Zuni Health Program,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"McKinley County, NM",0.00,18,NA,Withdrawn,Rural,10/26/2002,02/05/2020
Primary Care,13599935C1,Circle of Life Behavioral Health,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Rio Arriba County, NM",0.00,17,NA,Withdrawn,Rural,10/22/2002,02/05/2020
Primary Care,13599935C3,Western New Mexico Correctional Facility,Correctional Facility,New Mexico,"Cibola County, NM",0.08,12,NA,Withdrawn,Rural,05/13/2010,06/25/2019
Primary Care,13599935C8,New Mexico Womens Correctional Facility,Correctional Facility,New Mexico,"Cibola County, NM",0.73,21,NA,Withdrawn,Rural,05/25/2012,06/25/2019
Primary Care,13599935CA,Pueblo of Laguna of Community Health and Wellness,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Valencia County, NM",0.00,18,NA,Withdrawn,Rural,02/07/2013,02/05/2020
Primary Care,1355837695,Union County,Geographic HPSA,New Mexico,"Union County, NM",0.99,16,17,Designated,Rural,06/09/2014,09/10/2021
Primary Care,1359812595,Guadalupe County,High Needs Geographic HPSA,New Mexico,"Guadalupe County, NM",1.02,17,16,Designated,Rural,10/27/1978,09/10/2021
Primary Care,1353515026,De Baca County,High Needs Geographic HPSA,New Mexico,"De Baca County, NM",0.67,14,14,Designated,Rural,10/27/1978,09/10/2021
Dental Health,6352321891,Low Income - De Baca County,Low Income Population HPSA,New Mexico,"De Baca County, NM",0.26,9,NA,Designated,Rural,10/25/2012,09/10/2021
Mental Health,7359417731,Border Catchment Area,High Needs Geographic HPSA,New Mexico,"Catron County, NM | Grant County, NM | Hidalgo County, NM | Luna County, NM",2.39,17,NA,Designated,Rural,08/24/1979,09/10/2021
Mental Health,7352736745,Southeastern Catchment Area,High Needs Geographic HPSA,New Mexico,"Chaves County, NM | Eddy County, NM | Lea County, NM | Lincoln County, NM | Otero County, NM",13.96,19,NA,Designated,Rural,12/30/1986,09/10/2021
Primary Care,1351168065,CATRON COUNTY,High Needs Geographic HPSA,New Mexico,"Catron County, NM",0.76,14,13,Designated,Rural,04/25/1986,09/10/2021
Mental Health,7353490939,South Central Catchment Area,High Needs Geographic HPSA,New Mexico,"Sierra County, NM | Socorro County, NM",1.80,18,NA,Designated,Rural,05/13/1992,09/10/2021
Dental Health,6351635816,Southern Dona Ana,High Needs Geographic HPSA,New Mexico,"Dona Ana County, NM",0.46,13,NA,Designated,Non-Rural,05/16/1979,09/10/2021
Primary Care,1358768476,McKinley County,High Needs Geographic HPSA,New Mexico,"McKinley County, NM",10.21,17,17,Designated,Rural,05/30/1979,09/10/2021
Primary Care,1351437541,Low Income - Eddy County,Low Income Population HPSA,New Mexico,"Eddy County, NM",6.17,16,15,Designated,Rural,07/08/2013,09/10/2021
Dental Health,6355865239,Low Income - Eddy County,Low Income Population HPSA,New Mexico,"Eddy County, NM",4.63,15,NA,Designated,Rural,10/31/1991,09/10/2021
Dental Health,6355975581,North/Western Rio Arriba,High Needs Geographic HPSA,New Mexico,"Rio Arriba County, NM",2.70,21,NA,Designated,Rural,09/18/2012,09/10/2021
Primary Care,1358566658,Hidalgo County,High Needs Geographic HPSA,New Mexico,"Hidalgo County, NM",0.89,20,18,Designated,Rural,10/27/1978,09/10/2021
Dental Health,6359587218,Low Income - McKinley County,Low Income Population HPSA,New Mexico,"McKinley County, NM",10.96,21,NA,Designated,Rural,08/22/2013,09/10/2021
Mental Health,7352716392,Catchment Area 1,High Needs Geographic HPSA,New Mexico,"McKinley County, NM | San Juan County, NM",11.08,19,NA,Designated,Partially Rural,05/13/1992,09/10/2021
Primary Care,1353809306,Rio Arriba County,Geographic HPSA,New Mexico,"Rio Arriba County, NM",2.83,17,14,Designated,Rural,04/23/2019,09/10/2021
Primary Care,1359993581,La Familia Medical Center,Federally Qualified Health Center,New Mexico,"Santa Fe County, NM",,21,18,Designated,Non-Rural,10/26/2002,09/10/2021
Mental Health,7359993536,La Familia Medical Center,Federally Qualified Health Center,New Mexico,"Santa Fe County, NM",,20,NA,Designated,Non-Rural,10/26/2002,09/10/2021
Dental Health,6359993545,La Familia Medical Center,Federally Qualified Health Center,New Mexico,"Santa Fe County, NM",,25,NA,Designated,Non-Rural,10/26/2002,09/10/2021
Primary Care,13599935CB,"ST. LUKE'S HEALTH CARE CLINIC, INC.",Federally Qualified Health Center,New Mexico,"Dona Ana County, NM",,21,19,Designated,Non-Rural,01/07/2016,09/10/2021
Mental Health,735999355F,"ST. LUKE'S HEALTH CARE CLINIC, INC.",Federally Qualified Health Center,New Mexico,"Dona Ana County, NM",,18,NA,Designated,Non-Rural,01/07/2016,09/10/2021
Dental Health,635999355N,"ST. LUKE'S HEALTH CARE CLINIC, INC.",Federally Qualified Health Center,New Mexico,"Dona Ana County, NM",,25,NA,Designated,Non-Rural,01/07/2016,09/10/2021
Primary Care,1359370038,LOVINGTON CLINIC,Rural Health Clinic,New Mexico,"Lea County, NM",,16,17,Designated,Rural,08/18/2019,09/10/2021
Mental Health,7354186234,LOVINGTON CLINIC,Rural Health Clinic,New Mexico,"Lea County, NM",,19,NA,Designated,Rural,08/18/2019,09/10/2021
Dental Health,6358573230,LOVINGTON CLINIC,Rural Health Clinic,New Mexico,"Lea County, NM",,17,NA,Designated,Rural,08/18/2019,09/10/2021
Primary Care,1355719375,RGH CLINIC - PORTALES,Rural Health Clinic,New Mexico,"Roosevelt County, NM",,18,NA,Withdrawn,Rural,08/18/2019,04/08/2022
Mental Health,7352319008,RGH CLINIC - PORTALES,Rural Health Clinic,New Mexico,"Roosevelt County, NM",,20,NA,Withdrawn,Rural,08/18/2019,04/08/2022
Dental Health,6358953887,RGH CLINIC - PORTALES,Rural Health Clinic,New Mexico,"Roosevelt County, NM",,19,NA,Withdrawn,Rural,08/18/2019,04/08/2022
Primary Care,1358042446,TATUM CLINIC,Rural Health Clinic,New Mexico,"Lea County, NM",,16,17,Designated,Rural,08/18/2019,09/10/2021
Mental Health,7354552718,TATUM CLINIC,Rural Health Clinic,New Mexico,"Lea County, NM",,19,NA,Designated,Rural,08/18/2019,09/10/2021
Dental Health,6356882676,TATUM CLINIC,Rural Health Clinic,New Mexico,"Lea County, NM",,17,NA,Designated,Rural,08/18/2019,09/10/2021
Primary Care,1359993567,"LAS CLINICAS DEL NORTE, INCORPORATED",Federally Qualified Health Center,New Mexico,"Rio Arriba County, NM",,24,18,Designated,Rural,10/26/2002,09/11/2021
Mental Health,7359993530,"LAS CLINICAS DEL NORTE, INCORPORATED",Federally Qualified Health Center,New Mexico,"Rio Arriba County, NM",,22,NA,Designated,Rural,10/26/2002,09/11/2021
Dental Health,6359993538,"LAS CLINICAS DEL NORTE, INCORPORATED",Federally Qualified Health Center,New Mexico,"Rio Arriba County, NM",,25,NA,Designated,Rural,10/26/2002,09/11/2021
Primary Care,1359993583,SANTA ANNA HEALTH STATION,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Sandoval County, NM",,19,16,Designated,Non-Rural,10/26/2002,09/11/2021
Mental Health,7356527833,SANTA ANNA HEALTH STATION,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Sandoval County, NM",,19,NA,Designated,Non-Rural,08/18/2019,09/11/2021
Dental Health,6352845646,SANTA ANNA HEALTH STATION,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Sandoval County, NM",,20,NA,Designated,Non-Rural,08/18/2019,09/11/2021
Primary Care,1359783968,SOUTHWEST C. A. R. E. CENTER,Federally Qualified Health Center Look-alike,New Mexico,"Santa Fe County, NM",,18,18,Designated,Non-Rural,08/18/2019,09/11/2021
Mental Health,7353601994,SOUTHWEST C. A. R. E. CENTER,Federally Qualified Health Center Look-alike,New Mexico,"Santa Fe County, NM",,18,NA,Designated,Non-Rural,08/18/2019,09/11/2021
Dental Health,6359727150,SOUTHWEST C. A. R. E. CENTER,Federally Qualified Health Center Look-alike,New Mexico,"Santa Fe County, NM",,19,NA,Designated,Non-Rural,08/18/2019,09/11/2021
Primary Care,1359993555,"Mora Valley Community Health Services, Incorporated",Federally Qualified Health Center,New Mexico,"Mora County, NM",,21,20,Designated,Rural,05/20/2003,09/11/2021
Mental Health,7359993537,"Mora Valley Community Health Services, Incorporated",Federally Qualified Health Center,New Mexico,"Mora County, NM",,21,NA,Designated,Rural,10/26/2002,09/11/2021
Dental Health,6359993526,"Mora Valley Community Health Services, Incorporated",Federally Qualified Health Center,New Mexico,"Mora County, NM",,25,NA,Designated,Rural,05/20/2003,09/11/2021
Primary Care,1359993569,La Casa De Buena Salud Inc,Federally Qualified Health Center,New Mexico,"Roosevelt County, NM",,21,19,Designated,Rural,10/26/2002,09/11/2021
Mental Health,7359993533,La Casa De Buena Salud Inc,Federally Qualified Health Center,New Mexico,"Roosevelt County, NM",,22,NA,Designated,Rural,10/26/2002,09/11/2021
Dental Health,6359993540,La Casa De Buena Salud Inc,Federally Qualified Health Center,New Mexico,"Roosevelt County, NM",,25,NA,Designated,Rural,10/26/2002,09/11/2021
Primary Care,1359993573,La Clinica Del Pueblo,Federally Qualified Health Center,New Mexico,"Rio Arriba County, NM",,17,14,Designated,Rural,10/26/2002,09/11/2021
Mental Health,7359993538,La Clinica Del Pueblo,Federally Qualified Health Center,New Mexico,"Rio Arriba County, NM",,14,NA,Designated,Rural,10/26/2002,09/11/2021
Dental Health,6359993544,La Clinica Del Pueblo,Federally Qualified Health Center,New Mexico,"Rio Arriba County, NM",,17,NA,Designated,Rural,10/26/2002,09/11/2021
Mental Health,7353088252,MEMORIAL FAMILY PRACTICE AT ARTESIA GENERAL HOSP,Rural Health Clinic,New Mexico,"Eddy County, NM",,17,NA,Designated,Rural,09/18/2020,09/11/2021
Dental Health,6352877666,MEMORIAL FAMILY PRACTICE AT ARTESIA GENERAL HOSP,Rural Health Clinic,New Mexico,"Eddy County, NM",,17,NA,Designated,Rural,09/18/2020,09/11/2021
Primary Care,1358096139,MIMBRES VALLEY MEDICAL GROUP,Rural Health Clinic,New Mexico,"Luna County, NM",,18,20,Withdrawn,Rural,09/18/2020,02/05/2024
Mental Health,7356181248,MIMBRES VALLEY MEDICAL GROUP,Rural Health Clinic,New Mexico,"Luna County, NM",,19,NA,Withdrawn,Rural,09/18/2020,02/05/2024
Dental Health,6356010132,MIMBRES VALLEY MEDICAL GROUP,Rural Health Clinic,New Mexico,"Luna County, NM",,19,NA,Withdrawn,Rural,09/18/2020,02/05/2024
Primary Care,1352929304,SIERRA VISTA COMMUNITY HEALTH CENTER,Rural Health Clinic,New Mexico,"Sierra County, NM",,18,19,Designated,Rural,12/22/2020,09/11/2021
Mental Health,7352202263,SIERRA VISTA COMMUNITY HEALTH CENTER,Rural Health Clinic,New Mexico,"Sierra County, NM",,19,NA,Designated,Rural,12/22/2020,09/11/2021
Dental Health,6355123131,SIERRA VISTA COMMUNITY HEALTH CENTER,Rural Health Clinic,New Mexico,"Sierra County, NM",,19,NA,Designated,Rural,12/22/2020,09/11/2021
Primary Care,1359993557,Presbyterian Medical Services,Federally Qualified Health Center,New Mexico,"Santa Fe County, NM",,22,19,Designated,Non-Rural,10/26/2002,09/11/2021
Mental Health,7359993520,Presbyterian Medical Services,Federally Qualified Health Center,New Mexico,"Santa Fe County, NM",,21,NA,Designated,Non-Rural,05/20/2003,09/11/2021
Dental Health,6359993528,Presbyterian Medical Services,Federally Qualified Health Center,New Mexico,"Santa Fe County, NM",,25,NA,Designated,Non-Rural,10/26/2002,09/11/2021
Primary Care,1355771495,SUNRISE CLINICS,Federally Qualified Health Center Look-alike,New Mexico,"Guadalupe County, NM",,20,19,Designated,Rural,04/22/2021,09/12/2021
Mental Health,7352104536,SUNRISE CLINICS,Federally Qualified Health Center Look-alike,New Mexico,"Guadalupe County, NM",,18,NA,Designated,Rural,04/22/2021,09/12/2021
Dental Health,6354869970,SUNRISE CLINICS,Federally Qualified Health Center Look-alike,New Mexico,"Guadalupe County, NM",,19,NA,Designated,Rural,04/22/2021,09/12/2021
Primary Care,1358856382,Santa Fe Indian School,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Santa Fe County, NM",,21,15,Withdrawn,Non-Rural,08/18/2019,07/06/2023
Mental Health,7358370271,Santa Fe Indian School,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Santa Fe County, NM",,18,NA,Withdrawn,Non-Rural,08/18/2019,07/06/2023
Dental Health,6353031100,Santa Fe Indian School,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Santa Fe County, NM",,20,NA,Withdrawn,Non-Rural,08/18/2019,07/06/2023
Mental Health,7357490517,UNION COUNTY HEALTH CENTER,Rural Health Clinic,New Mexico,"Union County, NM",,12,NA,Designated,Rural,08/06/2021,09/12/2021
Dental Health,6353356173,UNION COUNTY HEALTH CENTER,Rural Health Clinic,New Mexico,"Union County, NM",,15,NA,Designated,Rural,08/06/2021,09/12/2021
Mental Health,7359141496,Cibola County,High Needs Geographic HPSA,New Mexico,"Cibola County, NM",1.70,20,NA,Designated,Rural,10/22/2021,10/22/2021
Mental Health,7351597470,Colfax County,High Needs Geographic HPSA,New Mexico,"Colfax County, NM",0.77,17,NA,Designated,Rural,10/22/2021,10/22/2021
Mental Health,7354927268,Taos County,High Needs Geographic HPSA,New Mexico,"Taos County, NM",1.77,17,NA,Designated,Rural,10/22/2021,10/22/2021
Primary Care,1353359502,Cuba Service Area,High Needs Geographic HPSA,New Mexico,"Sandoval County, NM",1.56,18,17,Designated,Rural,10/28/2021,10/28/2021
Primary Care,1359621251,Southern Dona Ana,High Needs Geographic HPSA,New Mexico,"Dona Ana County, NM",5.46,12,13,Designated,Non-Rural,03/03/2022,03/03/2022
Primary Care,1351412872,Colfax County,Geographic HPSA,New Mexico,"Colfax County, NM",2.09,20,22,Designated,Rural,10/28/2021,10/28/2021
Primary Care,1351045737,Lincoln County,Geographic HPSA,New Mexico,"Lincoln County, NM",2.28,14,16,Designated,Rural,11/02/2021,11/02/2021
Primary Care,1357445811,Harding County,Geographic HPSA,New Mexico,"Harding County, NM",0.19,7,10,Designated,Rural,11/02/2021,11/02/2021
Dental Health,6357290963,Cibola County,High Needs Geographic HPSA,New Mexico,"Cibola County, NM",0.72,11,NA,Designated,Rural,12/16/2021,12/16/2021
Dental Health,6353305823,Socorro County,High Needs Geographic HPSA,New Mexico,"Socorro County, NM",2.23,17,NA,Designated,Rural,05/10/2012,11/02/2021
Dental Health,6353107663,LI - San Juan County,Low Income Population HPSA,New Mexico,"San Juan County, NM",13.49,19,NA,Designated,Partially Rural,11/20/2013,11/02/2021
Dental Health,6354515870,Dona Ana Hill Service Area,High Needs Geographic HPSA,New Mexico,"Dona Ana County, NM",0.64,11,NA,Designated,Non-Rural,02/23/2022,02/23/2022
Dental Health,6351101642,LI - Colfax County,Low Income Population HPSA,New Mexico,"Colfax County, NM",1.34,19,NA,Designated,Rural,01/11/2013,02/23/2022
Primary Care,1352402334,LI - Curry County,Low Income Population HPSA,New Mexico,"Curry County, NM",7.088,18,19,Designated,Rural,11/02/2021,11/02/2021
Dental Health,6351979566,LI - Curry County,Low Income Population HPSA,New Mexico,"Curry County, NM",5.75,19,NA,Designated,Rural,12/16/2021,12/16/2021
Mental Health,7354132839,Dona Ana County,High Needs Geographic HPSA,New Mexico,"Dona Ana County, NM",8.23,16,NA,Designated,Partially Rural,11/02/2021,11/02/2021
Primary Care,1357059311,Lea County,Geographic HPSA,New Mexico,"Lea County, NM",7.17,15,16,Designated,Rural,11/02/2021,11/02/2021
Primary Care,1355072376,Quay County,High Needs Geographic HPSA,New Mexico,"Quay County, NM",1.21,15,22,Designated,Rural,11/02/2021,11/02/2021
Mental Health,7359383521,LI - Santa Fe County,Low Income Population HPSA,New Mexico,"Santa Fe County, NM",3.17,16,NA,Designated,Partially Rural,11/02/2021,11/02/2021
Dental Health,6358741407,LI - Valencia County,Low Income Population HPSA,New Mexico,"Valencia County, NM",6.94,17,NA,Designated,Partially Rural,12/16/2021,12/16/2021
Dental Health,6356518836,Quay County,High Needs Geographic HPSA,New Mexico,"Quay County, NM",2.04,19,NA,Designated,Rural,12/16/2021,12/16/2021
Dental Health,6356929531,LI - Bernalillo County,Low Income Population HPSA,New Mexico,"Bernalillo County, NM",60.45,17,NA,Designated,Non-Rural,12/16/2021,12/16/2021
Primary Care,1352470889,LI - Bernalillo County,Low Income Population HPSA,New Mexico,"Bernalillo County, NM",80.61,18,12,Designated,Non-Rural,12/16/2021,12/16/2021
Dental Health,6355118618,LI - Lea County,Low Income Population HPSA,New Mexico,"Lea County, NM",5.97,17,NA,Designated,Rural,12/16/2021,12/16/2021
Primary Care,1355099604,LI - Cibola County,Low Income Population HPSA,New Mexico,"Cibola County, NM",4.68,19,22,Designated,Rural,12/16/2021,12/16/2021
Primary Care,1355109155,LI - Valencia County,Low Income Population HPSA,New Mexico,"Valencia County, NM",9.745,18,17,Designated,Partially Rural,12/16/2021,12/16/2021
Mental Health,7357681729,Southwest Valley,High Needs Geographic HPSA,New Mexico,"Bernalillo County, NM",4.31,20,NA,Designated,Non-Rural,12/16/2021,12/16/2021
Mental Health,7356527232,Sandoval County,High Needs Geographic HPSA,New Mexico,"Sandoval County, NM",7.44,17,NA,Designated,Partially Rural,11/02/2021,11/02/2021
Primary Care,1351118889,Chavez County,Geographic HPSA,New Mexico,"Chaves County, NM",0.87,9,13,Designated,Rural,02/23/2022,02/23/2022
Dental Health,6356592843,LI - Otero County,Low Income Population HPSA,New Mexico,"Otero County, NM",7.04,19,NA,Designated,Rural,02/23/2022,02/23/2022
Dental Health,6352137714,Mora County,Geographic HPSA,New Mexico,"Mora County, NM",0.90,17,NA,Designated,Rural,02/23/2022,02/23/2022
Dental Health,6355761375,Guadalupe County,Geographic HPSA,New Mexico,"Guadalupe County, NM",0.73,17,NA,Designated,Rural,02/09/2022,02/09/2022
Dental Health,6356288097,Cuba / North Sandoval,High Needs Geographic HPSA,New Mexico,"Sandoval County, NM",2.07,15,NA,Designated,Rural,02/23/2022,02/23/2022
Dental Health,6357665934,LI - San Miguel County,Low Income Population HPSA,New Mexico,"San Miguel County, NM",3.57,19,NA,Designated,Rural,02/09/2022,02/09/2022
Dental Health,6351920798,Torrance County,High Needs Geographic HPSA,New Mexico,"Torrance County, NM",2.37,19,NA,Designated,Rural,03/03/2022,03/03/2022
Dental Health,6352562735,Union County,Geographic HPSA,New Mexico,"Union County, NM",0.69,17,NA,Designated,Rural,02/09/2022,02/09/2022
Dental Health,6354920506,Harding County,Geographic HPSA,New Mexico,"Harding County, NM",0.09,5,NA,Designated,Rural,02/09/2022,02/09/2022
Dental Health,6351852357,Hatch Service Area,High Needs Geographic HPSA,New Mexico,"Dona Ana County, NM",1.30,18,NA,Designated,Rural,02/23/2022,02/23/2022
Dental Health,6357068777,LI - Hildago County,Low Income Population HPSA,New Mexico,"Hidalgo County, NM",0.44,13,NA,Designated,Rural,02/23/2022,02/23/2022
